column,dtype,null_count,unique_count,null_percentage
weight,String,98569,10,96.86
medical_specialty,String,49949,73,49.08
payer_code,String,40256,18,39.56
race,String,2273,6,2.23
diag_3,String,1423,790,1.4
diag_2,String,358,749,0.35
diag_1,String,21,717,0.02
encounter_id,Int64,0,101766,0.0
patient_nbr,Int64,0,71518,0.0
gender,String,0,3,0.0
age,String,0,10,0.0
admission_type_id,Int64,0,8,0.0
discharge_disposition_id,Int64,0,26,0.0
admission_source_id,Int64,0,17,0.0
time_in_hospital,Int64,0,14,0.0
num_lab_procedures,Int64,0,118,0.0
num_procedures,Int64,0,7,0.0
num_medications,Int64,0,75,0.0
number_outpatient,Int64,0,39,0.0
number_emergency,Int64,0,33,0.0
number_inpatient,Int64,0,21,0.0
number_diagnoses,Int64,0,16,0.0
max_glu_serum,String,0,4,0.0
A1Cresult,String,0,4,0.0
metformin,String,0,4,0.0
repaglinide,String,0,4,0.0
nateglinide,String,0,4,0.0
chlorpropamide,String,0,4,0.0
glimepiride,String,0,4,0.0
acetohexamide,String,0,2,0.0
glipizide,String,0,4,0.0
glyburide,String,0,4,0.0
tolbutamide,String,0,2,0.0
pioglitazone,String,0,4,0.0
rosiglitazone,String,0,4,0.0
acarbose,String,0,4,0.0
miglitol,String,0,4,0.0
troglitazone,String,0,2,0.0
tolazamide,String,0,3,0.0
examide,String,0,1,0.0
citoglipton,String,0,1,0.0
insulin,String,0,4,0.0
glyburide-metformin,String,0,4,0.0
glipizide-metformin,String,0,2,0.0
glimepiride-pioglitazone,String,0,2,0.0
metformin-rosiglitazone,String,0,2,0.0
metformin-pioglitazone,String,0,2,0.0
change,String,0,2,0.0
diabetesMed,String,0,2,0.0
readmitted,String,0,3,0.0
